"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3"
"NC_0",-0.225529800041065,0.0671767152016519,-0.147883610654592
"NC_1",-0.224989055272166,0.0464716945773362,0.0552866491163145
"NC_2",-0.232312885124285,0.0836110565906328,-0.183326565160567
"NC_3",0.438725899665109,-0.0587638609354372,0.0700368108600714
"HS_0",0.394982165647056,-0.175472786656252,0.227521921288785
"HS_1",0.256957866653366,0.127208198917514,-0.272277270600588
"HS_2",0.210904376323548,0.0485032193873761,-0.258814824547175
"HS_3",-0.177543851632431,0.0655555823126868,-0.221984218993119
"HS_4",-0.184747537307218,0.251146349954106,-0.127758984767958
"CA_0",0.363702961898082,0.212717577421515,-0.0038165043126994
"CA_1",-0.112593377400305,-0.232049659131177,0.175720078161571
"CA_2",-0.186104599414485,-0.387073422814295,-0.211518652170072
"CA_3",-0.0512923627256588,-0.465001728870859,-0.376255511061539
"ChR2_0",-0.0982268473807796,-0.0902857538478259,0.343459043133832
"ChR2_1",-0.0865953345211585,0.0295414089382697,0.288635536569676
"ChR2_2",-0.0868553554502558,0.0218998459691868,0.174763280005916
"Chol2_HS_0",0.116559826684117,-0.0529691535804448,0.260892063116162
"Chol2_HS_1",-0.0845780339170558,-0.203310517479535,0.147609204525142
"Chol2_HS_2",-0.0978481936218309,0.542461591735171,0.00742439959870015
"Chol2_CA_0",0.253625731751217,0.0455590117691948,-0.285740595710064
"Chol2_CA_2",-0.0707912758285201,-0.0859069246479985,0.182612574028484
"Chol2_CA_3",-0.115450318985279,0.208981555189185,0.155415177573719
